message,label,language,cleaned_message,label_num
Félicitations ! Vous avez gagné 1 000 000 € à notre loterie !,spam,fr,félicit gagn loter,1
Prêt urgent sans frais. Obtenez 5000 € immédiatement.,spam,fr,prêt urgent san frais obten immédiat,1
Perdez 10 kg en 2 semaines sans effort. Produit miracle !,spam,fr,perd semain san effort produit miracl,1
URGENT: Votre compte bancaire a été suspendu. Vérifiez maintenant.,spam,fr,urgent compt bancair suspendu vérif mainten,1
Travail à domicile: Gagnez 5000 € par mois sans expérience.,spam,fr,travail domicil gagn mois san expérient,1
iPhone gratuit ! Payez seulement 10 € de frais de port.,spam,fr,iphon gratuit pai seul frais port,1
Investissement crypto: Doublez votre argent en 24h garantie !,spam,fr,invest crypto doubl argent garant,1
Vous êtes sélectionné pour un voyage gratuit aux Maldives !,spam,fr,sélection voyag gratuit maldiv,1
Médicament secret que les médecins cachent au public.,spam,fr,médic secret médecin cachent public,1
Crédit immédiat sans justification. Appelez vite !,spam,fr,cred immédiat san justif appel vit,1
Alerte sécurité: Votre compte a été compromis. Cliquez ici.,spam,fr,alert sécur compt comprom cliqu ici,1
Gagnez argent facilement depuis votre canapé. Démarrage immédiat.,spam,fr,gagn argent facil depuis canap démarrag immédiat,1
Diplôme universitaire sans examen. Obtenez-le rapidement.,spam,fr,diplôm universitair san examen obtenezl rapid,1
Produit anti-âge: Effacez 20 ans en 15 jours seulement.,spam,fr,produit antiâg effac an jour seul,1
Visa Canada gratuit. Postulez maintenant avant fermeture.,spam,fr,vis canad gratuit postul mainten avant fermetur,1
Héritage surprise: 250 000 € vous attendent. Répondez vite !,spam,fr,héritag surpris attendent répond vit,1
Cartes crédit pré-approuvées sans vérification de revenu.,spam,fr,cart cred préapprouv san vérif revenu,1
Logiciel trading: 300% profit mensuel garanti contrat signé.,spam,fr,logiciel trading prof mensuel garant contrat sign,1
Stage rémunéré 200 €/jour. Travaillez de chez vous.,spam,fr,stag rémuner jour travaill chez,1
Épargne garantie 15% rendement. Sans risque capital.,spam,fr,épargn garant rend san risqu capital,1
