message,label,language
Félicitations ! Vous avez gagné 1 000 000 € à notre loterie !,spam,fr
Prêt urgent sans frais. Obtenez 5000 € immédiatement.,spam,fr
Perdez 10 kg en 2 semaines sans effort. Produit miracle !,spam,fr
URGENT: Votre compte bancaire a été suspendu. Vérifiez maintenant.,spam,fr
Travail à domicile: Gagnez 5000 € par mois sans expérience.,spam,fr
iPhone gratuit ! Payez seulement 10 € de frais de port.,spam,fr
Investissement crypto: Doublez votre argent en 24h garantie !,spam,fr
Vous êtes sélectionné pour un voyage gratuit aux Maldives !,spam,fr
Médicament secret que les médecins cachent au public.,spam,fr
Crédit immédiat sans justification. Appelez vite !,spam,fr
Alerte sécurité: Votre compte a été compromis. Cliquez ici.,spam,fr
Gagnez argent facilement depuis votre canapé. Démarrage immédiat.,spam,fr
Diplôme universitaire sans examen. Obtenez-le rapidement.,spam,fr
Produit anti-âge: Effacez 20 ans en 15 jours seulement.,spam,fr
Visa Canada gratuit. Postulez maintenant avant fermeture.,spam,fr
Héritage surprise: 250 000 € vous attendent. Répondez vite !,spam,fr
Cartes crédit pré-approuvées sans vérification de revenu.,spam,fr
Logiciel trading: 300% profit mensuel garanti contrat signé.,spam,fr
Stage rémunéré 200 €/jour. Travaillez de chez vous.,spam,fr
Épargne garantie 15% rendement. Sans risque capital.,spam,fr
Téléphone portable dernier cri gratuit. Offre limitée.,spam,fr
Maison à 1 €. Programme gouvernemental secret. Découvrez !,spam,fr
Assurance vie gratuite. Protégez votre famille maintenant.,spam,fr
Énergie libre: Réduisez facture électricité 90%. Méthode secrète.,spam,fr
Recrutement: Ambassadeurs marque. Salaire fixe + primes.,spam,fr
Cryptomonnaie: Investissez maintenant et devenez millionnaire.,spam,fr
Formation trading offerte. Devenez expert en 7 jours.,spam,fr
Achat groupé: iPhone 50% moins cher. Stocks limités.,spam,fr
Bonus exceptionnel: 500 € offerts pour ouverture compte.,spam,fr
Parfum de luxe gratuit. Payez seulement l'expédition.,spam,fr
"Bonjour, comment allez-vous aujourd'hui ?",ham,fr
"Merci pour votre email, je vous réponds bientôt.",ham,fr
Pouvez-vous m'appeler quand vous êtes disponible ?,ham,fr
La réunion est prévue pour demain à 14 heures.,ham,fr
Je serai en retard pour le dîner ce soir.,ham,fr
Joyeux anniversaire ! Passez une bonne journée.,ham,fr
Veuillez trouver ci-joint le document demandé.,ham,fr
"Salut, on se voit samedi pour le déjeuner ?",ham,fr
Le rapport sera prêt pour la fin de semaine.,ham,fr
Merci de votre compréhension. Cordialement.,ham,fr
Peux-tu m'envoyer le fichier quand tu as un moment ?,ham,fr
La réunion de lundi est annulée.,ham,fr
As-tu reçu mon message d'hier ?,ham,fr
On se retrouve où pour le cinéma ce soir ?,ham,fr
N'oublie pas d'acheter le pain en rentrant.,ham,fr
Le médecin a confirmé le rendez-vous pour vendredi.,ham,fr
J'ai réservé la salle pour la conférence.,ham,fr
Les enfants rentrent de l'école à 16h30.,ham,fr
Tu veux qu'on aille au restaurant ce weekend ?,ham,fr
"Le projet avance bien, merci pour ton aide.",ham,fr
La météo annonce de la pluie pour demain.,ham,fr
J'ai terminé la lecture du livre que tu m'as prêté.,ham,fr
Le train part à 18h45 de la gare centrale.,ham,fr
Penses-tu venir à la fête d'anniversaire de Paul ?,ham,fr
J'ai acheté les billets pour le concert.,ham,fr
La réparation de la voiture coûtera 350 €.,ham,fr
Super idée pour les vacances ! J'adore le plan.,ham,fr
Mon frère arrive en visite ce weekend.,ham,fr
"Le colis est arrivé ce matin, merci !",ham,fr
On se voit à l'entrée du métro à 19h ?,ham,fr
