message,label,language
"Congratulations! You won $1,000,000 in our lottery!",spam,en
Urgent loan without fees. Get $5000 immediately.,spam,en
Lose 10 kg in 2 weeks without effort. Miracle product!,spam,en
URGENT: Your bank account has been suspended. Verify now.,spam,en
Work from home: Earn $5000 monthly without experience.,spam,en
Free iPhone! Pay only $10 shipping fees.,spam,en
Crypto investment: Double your money in 24h guaranteed!,spam,en
You are selected for a free trip to Maldives!,spam,en
Secret medicine that doctors hide from the public.,spam,en
Instant credit without verification. Call now!,spam,en
Security alert: Your account has been compromised. Click here.,spam,en
Make money easily from your couch. Start immediately.,spam,en
University degree without exams. Get it quickly.,spam,en
Anti-aging product: Erase 20 years in just 15 days.,spam,en
Free Canada visa. Apply now before closing.,spam,en
"Surprise inheritance: $250,000 waiting for you. Reply fast!",spam,en
Pre-approved credit cards without income check.,spam,en
Trading software: 300% monthly profit guaranteed signed contract.,spam,en
Paid internship $200/day. Work from home.,spam,en
Guanteed savings 15% return. No capital risk.,spam,en
Latest smartphone free. Limited offer.,spam,en
House for $1. Secret government program. Discover!,spam,en
Free life insurance. Protect your family now.,spam,en
Free energy: Reduce electricity bill 90%. Secret method.,spam,en
Recruitment: Brand ambassadors. Fixed salary + bonuses.,spam,en
Cryptocurrency: Invest now and become millionaire.,spam,en
Free trading training. Become expert in 7 days.,spam,en
Group purchase: iPhone 50% cheaper. Limited stocks.,spam,en
Exceptional bonus: $500 free for account opening.,spam,en
Luxury perfume free. Pay only shipping.,spam,en
"Hello, how are you doing today?",ham,en
"Thanks for your email, I'll reply soon.",ham,en
Can you call me when you're available?,ham,en
The meeting is scheduled for tomorrow at 2 PM.,ham,en
I'll be late for dinner tonight.,ham,en
Happy birthday! Have a great day.,ham,en
Please find attached the requested document.,ham,en
"Hi, are we meeting for lunch on Saturday?",ham,en
The report will be ready by end of week.,ham,en
Thanks for your understanding. Best regards.,ham,en
Can you send me the file when you have a moment?,ham,en
Monday's meeting is cancelled.,ham,en
Did you receive my message from yesterday?,ham,en
Where should we meet for the cinema tonight?,ham,en
Don't forget to buy bread on your way home.,ham,en
The doctor confirmed the appointment for Friday.,ham,en
I booked the room for the conference.,ham,en
The kids come back from school at 4:30 PM.,ham,en
Do you want to go to the restaurant this weekend?,ham,en
"The project is going well, thanks for your help.",ham,en
The weather forecast says rain for tomorrow.,ham,en
I finished reading the book you lent me.,ham,en
The train departs at 6:45 PM from central station.,ham,en
Are you coming to Paul's birthday party?,ham,en
I bought the tickets for the concert.,ham,en
The car repair will cost $350.,ham,en
Great idea for the holidays! I love the plan.,ham,en
My brother is visiting this weekend.,ham,en
"The package arrived this morning, thank you!",ham,en
Shall we meet at the metro entrance at 7 PM?,ham,en
